# MJD	Densities (cm^3)
59000.766667	3.93
59000.767361	3.93
59000.768056	3.99
59000.768750	3.92
59000.769444	3.68
59000.770139	3.71
59000.770833	3.45
59000.771528	3.06
59000.772222	3.31
59000.772917	3.64
59000.773611	3.42
59000.774306	3.63
59000.775000	3.53
59000.775694	3.37
59000.776389	3.32
59000.777083	3.30
59000.777778	3.26
59000.778472	3.22
59000.779167	3.24
59000.779861	3.22
59000.780556	3.17
59000.781250	3.07
59000.781944	3.09
59000.782639	2.97
59000.783333	2.90
59000.784028	3.15
59000.784722	3.23
59000.785417	3.28
59000.786111	3.01
59000.786806	3.18
59000.787500	3.23
59000.788194	3.56
59000.788889	3.62
59000.789583	3.47
59000.790278	3.28
59000.790972	3.37
59000.791667	3.31
59000.792361	3.40
59000.793056	3.23
59000.793750	3.43
59000.794444	3.14
59000.795139	3.43
59000.795833	3.48
59000.796528	3.42
59000.797222	3.45
59000.797917	3.51
59000.798611	3.78
59000.799306	3.56
59000.800000	3.67
59000.800694	3.64
59000.801389	3.53
59000.802083	3.67
59000.802778	3.58
59000.803472	3.64
59000.804167	3.52
59000.804861	3.60
59000.805556	3.65
59000.806250	3.56
59000.806944	3.58
59000.807639	3.53
59000.808333	3.67
59000.809028	3.60
59000.809722	3.56
59000.810417	3.56
59000.811111	3.70
59000.811806	3.67
59000.812500	3.43
59000.813194	3.34
59000.813889	3.48
59000.814583	3.36
59000.815278	3.40
59000.815972	3.37
59000.816667	3.50
59000.817361	3.45
59000.818056	3.57
59000.818750	3.39
59000.819444	3.50
59000.820139	3.44
59000.820833	3.39
59000.821528	3.34
59000.822222	3.16
59000.822917	3.26
59000.823611	3.30
59000.824306	3.28
59000.825000	3.24
59000.825694	3.25
59000.826389	3.26
59000.827083	3.23
59000.827778	3.31
59000.828472	3.45
59000.829167	3.33
59000.829861	3.64
59000.830556	3.65
59000.831250	3.54
59000.831944	3.63
59000.832639	3.61
59000.833333	3.61
59000.834028	3.75
59000.834722	3.45
