# MJD	Densities (cm^3)
56403.366667	1.07
56403.370139	0.86
56403.373611	1.06
56403.377083	1.06
56403.380556	0.60
56403.394444	0.29
56403.397917	0.56
56403.401389	0.83
56403.404861	0.90
56403.408333	0.71
56403.411806	0.89
56403.415278	1.11
56403.422222	0.88
56403.425694	0.83
56403.429167	1.09
56403.432639	0.84
56403.436111	0.69
56403.439583	1.11
56403.443056	1.05
56403.446528	1.19
56403.450000	1.20
56403.453472	1.06
56403.456944	1.16
56403.460417	1.17
56403.463889	1.10
56403.467361	1.14
56403.470833	1.19
56403.474306	1.42
56403.477778	1.32
56403.481250	0.85
56403.484722	0.32
56403.488194	0.32
56403.491667	0.31
56403.495139	0.36
56403.498611	0.72
56403.502083	0.96
56403.505556	0.79
56403.509028	0.83
56403.512500	0.75
56403.515972	0.67
56403.519444	0.58
56403.522917	0.71
56403.526389	0.89
56403.529861	0.91
56403.533333	0.93
56403.536806	1.14
56403.540278	1.47
56403.543750	1.40
56403.547222	1.37
56403.550694	1.54
56403.554167	1.47
56403.557639	1.34
56403.561111	1.37
56403.564583	1.27
56403.568056	1.19
56403.571528	1.12
56403.575000	1.00
56403.578472	1.03
56403.581944	1.09
56403.585417	1.21
56403.588889	1.19
56403.593056	1.31
56403.596528	1.29
56403.600000	1.17
56403.603472	1.31
56403.606944	1.06
56403.610417	1.29
56403.613889	1.30
56403.617361	1.29
56403.620833	1.14
56403.624306	1.19
56403.627778	1.29
56403.631250	0.98
56403.634722	1.01
56403.638194	1.08
56403.641667	1.01
56403.645139	0.82
56403.648611	0.69
56403.652083	0.77
56403.655556	0.84
56403.659028	0.62
56403.662500	0.76
56403.665972	0.73
56403.669444	0.70
56403.672917	0.75
56403.676389	0.88
56403.679861	0.85
56403.683333	1.08
56403.686806	1.11
56403.690278	0.93
56403.693750	0.92
56403.697222	1.58
56403.700694	1.36
56403.704167	1.57
56403.707639	1.85
56403.711111	1.52
56403.714583	1.17
56403.718056	1.46
56403.721528	1.48
56403.725000	1.57
56403.728472	1.73
56403.731944	1.44
56403.735417	1.75
56403.738889	1.56
56403.742361	1.40
56403.745833	1.13
56403.749306	1.10
56403.752778	1.86
56403.756250	4.68
56403.759722	4.36
56403.763194	4.65
56403.766667	5.59
56403.770139	6.06
56403.773611	7.05
56403.777083	5.89
56403.780556	6.01
56403.784028	6.08
56403.787500	5.95
56403.790972	7.76
56403.794444	7.66
56403.797917	7.01
56403.801389	6.93
56403.804861	7.16
56403.808333	7.22
56403.811806	7.27
56403.815278	6.94
56403.818750	6.80
56403.822222	7.31
56403.825694	6.80
56403.829167	5.72
56403.832639	5.13
56403.836111	5.31
56403.839583	5.46
56403.843056	5.90
56403.846528	5.82
56403.850000	6.08
56403.853472	5.95
56403.856944	5.81
56403.860417	6.50
56403.863889	5.97
56403.867361	6.29
56403.870833	5.59
56403.874306	5.75
56403.877778	5.54
56403.881250	5.15
56403.884722	5.18
56403.888194	5.04
56403.891667	5.30
56403.895139	5.13
56403.898611	4.71
56403.902083	4.72
56403.905556	4.91
56403.909028	4.92
56403.912500	4.30
56403.915972	3.56
56403.919444	3.21
56403.922917	3.35
56403.926389	3.06
56403.929861	2.86
56403.933333	3.00
56403.936806	2.83
56403.940278	2.77
56403.943750	2.54
56403.947222	2.94
56403.950694	2.28
56403.954167	2.47
56403.957639	2.84
56403.961111	2.62
56403.964583	2.48
56403.968056	2.66
56403.971528	2.70
56403.975000	2.52
56403.978472	2.48
56403.981944	2.35
56403.985417	2.35
56403.988889	2.04
56403.995833	2.36
